codi_eoi,nom_estacio,data,magnitud,contaminant,unitats,tipus_estacio,area_urbana,codi_ine,municipi,codi_comarca,nom_comarca,h01,h02,h03,h04,altitud,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
08019004,Barcelona (Poblenou),2022-11-07T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,21,19,16,16,3,41.40388,2.204501,"{'type': 'Point', 'coordinates': [2.204501, 41.40388]}",512,29,16,17,18,66,42,61,90,76,62,31,28,29,51,70,56,29,29,36,32,30
08101001,L'Hospitalet de Llobregat,2022-11-07T00:00:00.000,10,PM10,µg/m3,background,urban,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,20,25,27,25,29,41.370476,2.1149993,"{'type': 'Point', 'coordinates': [2.1149993, 41.370476]}",117,29,16,12,17,32,60,71,40,19,16,24,28,27,27,28,46,70,100,47,32,32
08019058,Barcelona (Observatori Fabra),2022-11-07T00:00:00.000,10,PM10,µg/m3,background,suburban,08019,Barcelona,13,Barcelonès,14,6,17,2,415,41.41843,2.1238973,"{'type': 'Point', 'coordinates': [2.1238973, 41.41843]}",512,29,1,7,6,6,8,13,,,,19,17,14,16,16,12,11,9,9,9,10
08019057,Barcelona (Palau Reial),2022-11-07T00:00:00.000,9,PM2.5,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,6,6,5,5,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,4,4,4,6,14,11,4,4,4,5,4,5,6,8,9,7,6,5,5,5
08019057,Barcelona (Palau Reial),2022-11-07T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,9,8,7,7,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,5,6,6,8,20,31,9,12,13,13,10,9,11,13,13,11,9,7,6,6
08019054,Barcelona (Parc Vall Hebron),2022-11-07T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,11,11,7,14,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,14,14,9,15,26,23,20,13,10,10,22,17,14,17,19,13,16,32,21,17
08019044,Barcelona (Gràcia - Sant Gervasi),2022-11-07T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,23,17,7,14,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,8,3,8,25,34,49,8,8,13,,,,21,23,25,20,19,20,17,13
08019043,Barcelona (Eixample),2022-11-07T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,27,22,21,19,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,23,30,31,55,77,85,35,28,58,42,48,45,47,96,61,34,44,66,53,44
08019057,Barcelona (Palau Reial),2022-11-06T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,18,14,17,11,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,10,10,10,13,17,18,16,12,15,16,10,9,9,14,13,20,19,14,10,9
08101001,L'Hospitalet de Llobregat,2022-11-06T00:00:00.000,10,PM10,µg/m3,background,urban,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,38,34,33,29,29,41.370476,2.1149993,"{'type': 'Point', 'coordinates': [2.1149993, 41.370476]}",117,29,21,20,30,47,45,28,29,25,35,38,24,32,28,27,56,75,75,39,27,22
08019054,Barcelona (Parc Vall Hebron),2022-11-06T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,12,22,17,12,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,9,9,12,13,12,14,14,15,20,25,26,11,18,13,24,36,38,27,23,18
08019044,Barcelona (Gràcia - Sant Gervasi),2022-11-06T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,21,43,17,36,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,27,27,11,23,27,28,28,43,14,52,11,14,51,31,29,71,41,49,33,23
08019043,Barcelona (Eixample),2022-11-06T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,33,46,52,50,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,25,30,30,32,33,41,36,21,36,45,50,36,61,49,39,55,61,62,36,33
08194008,Sant Adrià de Besòs,2022-11-06T00:00:00.000,10,PM10,µg/m3,traffic,urban,08194,Sant Adrià de Besòs,13,Barcelonès,33,28,26,20,7,41.425594,2.2221997,"{'type': 'Point', 'coordinates': [2.2221997, 41.425594]}",841,29,18,15,14,18,22,29,31,22,53,50,18,22,15,24,31,41,35,31,21,16
08019057,Barcelona (Palau Reial),2022-11-06T00:00:00.000,9,PM2.5,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,8,5,8,5,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,5,4,4,5,6,6,6,3,5,6,4,3,4,5,6,9,8,7,7,6
08019004,Barcelona (Poblenou),2022-11-06T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,28,28,26,24,3,41.40388,2.204501,"{'type': 'Point', 'coordinates': [2.204501, 41.40388]}",512,29,21,19,17,21,52,31,35,45,40,43,30,26,33,80,33,32,33,30,26,25
08019058,Barcelona (Observatori Fabra),2022-11-06T00:00:00.000,10,PM10,µg/m3,background,suburban,08019,Barcelona,13,Barcelonès,13,10,10,11,415,41.41843,2.1238973,"{'type': 'Point', 'coordinates': [2.1238973, 41.41843]}",512,29,14,13,11,12,13,13,11,13,19,49,16,17,34,15,5,20,45,28,25,18
08019054,Barcelona (Parc Vall Hebron),2022-11-05T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,8,11,16,9,136,41.42611,2.1480017,"{'type': 'Point', 'coordinates': [2.1480017, 41.42611]}",512,29,13,12,12,16,20,18,12,9,11,10,17,17,16,14,24,36,41,34,34,21
08019004,Barcelona (Poblenou),2022-11-05T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,14,10,9,10,3,41.40388,2.204501,"{'type': 'Point', 'coordinates': [2.204501, 41.40388]}",512,29,14,21,13,17,22,21,21,36,22,22,24,22,49,45,35,39,34,35,30,30
08019057,Barcelona (Palau Reial),2022-11-05T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,6,6,5,5,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,7,8,9,11,7,8,9,8,10,7,12,10,8,11,18,18,16,15,17,19
08019057,Barcelona (Palau Reial),2022-11-05T00:00:00.000,9,PM2.5,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,3,3,3,81,41.38749,2.1151996,"{'type': 'Point', 'coordinates': [2.1151996, 41.38749]}",512,29,3,3,3,3,3,3,4,3,3,3,4,4,4,4,6,7,7,6,6,7
08019058,Barcelona (Observatori Fabra),2022-11-05T00:00:00.000,10,PM10,µg/m3,background,suburban,08019,Barcelona,13,Barcelonès,13,12,8,7,415,41.41843,2.1238973,"{'type': 'Point', 'coordinates': [2.1238973, 41.41843]}",512,29,5,9,10,9,8,16,9,14,9,9,27,22,24,21,16,12,7,13,16,15
08194008,Sant Adrià de Besòs,2022-11-05T00:00:00.000,10,PM10,µg/m3,traffic,urban,08194,Sant Adrià de Besòs,13,Barcelonès,13,10,10,7,7,41.425594,2.2221997,"{'type': 'Point', 'coordinates': [2.2221997, 41.425594]}",841,29,6,20,7,11,19,25,19,30,30,15,19,13,25,28,38,41,42,34,32,34
08101001,L'Hospitalet de Llobregat,2022-11-05T00:00:00.000,10,PM10,µg/m3,background,urban,08101,"Hospitalet de Llobregat, l'",13,Barcelonès,11,12,12,14,29,41.370476,2.1149993,"{'type': 'Point', 'coordinates': [2.1149993, 41.370476]}",117,29,15,19,16,27,25,22,24,19,26,18,22,20,20,30,108,112,81,32,84,46
08019044,Barcelona (Gràcia - Sant Gervasi),2022-11-05T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,10,10,9,7,57,41.398724,2.1533988,"{'type': 'Point', 'coordinates': [2.1533988, 41.398724]}",512,29,7,18,6,9,15,20,21,9,20,31,37,31,37,26,76,132,61,33,49,36
08019043,Barcelona (Eixample),2022-11-05T00:00:00.000,10,PM10,µg/m3,traffic,urban,08019,Barcelona,13,Barcelonès,21,19,16,15,26,41.385315,2.1537998,"{'type': 'Point', 'coordinates': [2.1537998, 41.385315]}",512,29,13,22,17,24,26,28,23,26,39,44,50,33,43,37,52,64,58,56,46,43
08019004,Barcelona (Poblenou),2022-11-04T00:00:00.000,10,PM10,µg/m3,background,urban,08019,Barcelona,13,Barcelonès,2,1,1,1,3,41.40388,2.204501,"{'type': 'Point', 'coordinates': [2.204501, 41.40388]}",512,29,1,2,6,25,49,73,,,,120,56,45,86,109,59,57,34,25,19,18
